FECHA_TRANSACCION;Cliente_ID;Producto_ID;Volumen_Vendido;Precio_Unitario_Real;Costo_Venta_Unitario;Gasto_Marketing
2016-01-01;CLI0244;DIS_S04;297;5619,39;3836,91;0
2016-01-01;CLI0423;LIM_Q02;438;4225,74;2346,7;0
2016-01-02;CLI0324;DIS_S05;499;6077,52;5717,23;0
2016-01-02;CLI0128;LIM_Q02;283;8038,4;5922,97;2722366,57
2016-01-02;CLI0093;DIS_S04;358;7132,13;3680,94;0
2016-01-02;CLI0300;DIS_S04;216;11809,09;8471,14;0
2016-01-03;CLI0133;LIM_Q02;157;3538,02;2454,84;0
2016-01-03;CLI0055;HIG_Q03;309;8077,7;5490,72;0
2016-01-04;CLI0477;DIS_S04;429;8063,39;6244,73;0
2016-01-05;CLI0158;DIS_S05;462;12312,51;9885,06;0
2016-01-06;CLI0029;LIM_Q02;497;13787,94;10399,17;0
2016-01-07;CLI0154;HIG_Q03;475;13108,89;7422,03;0
2016-01-07;CLI0211;LIM_Q02;170;5078;2783;0
2016-01-07;CLI0410;HIG_Q03;46;9920,7;8261,15;0
2016-01-08;CLI0293;HIG_Q03;392;4982,71;2920,58;0
2016-01-08;CLI0475;DIS_S05;284;14234,2;9263,26;1453469,83
2016-01-08;CLI0222;DIS_S04;444;13549,32;6752,69;0
2016-01-10;CLI0115;HIG_Q03;297;6179,6;5629,37;0
2016-01-10;CLI0437;DIS_S04;115;12749,75;8366,2;0
2016-01-10;CLI0158;DIS_S05;31;5989,46;4959,3;0
2016-01-10;CLI0259;DIS_S04;242;2598,08;1677,96;0
2016-01-11;CLI0251;LIM_Q01;131;10088,57;6684,5;0
2016-01-11;CLI0122;HIG_Q03;138;7450,17;5192,38;0
2016-01-12;CLI0049;HIG_Q03;67;9990,51;7123,99;0
2016-01-12;CLI0381;DIS_S05;157;10959,54;7023,9;0
2016-01-12;CLI0263;LIM_Q02;226;5725,42;3851,05;0
2016-01-12;CLI0299;DIS_S05;319;17795,53;10143,39;2017956,98
2016-01-13;CLI0377;DIS_S05;428;13466,74;6625,88;0
2016-01-13;CLI0329;LIM_Q02;246;6130,32;2605,13;0
2016-01-13;CLI0297;LIM_Q01;79;6865,34;5478,49;0
2016-01-13;CLI0362;HIG_Q03;463;14974,68;7195,4;0
2016-01-13;CLI0077;HIG_Q03;198;10836,56;7650,98;1374596,03
2016-01-14;CLI0463;DIS_S05;251;6352,1;3896,88;0
2016-01-14;CLI0438;DIS_S04;72;9138,57;5736,82;0
2016-01-14;CLI0127;DIS_S04;494;13054,01;8291,65;0
2016-01-14;CLI0197;LIM_Q02;250;10463,04;6376,12;0
2016-01-14;CLI0221;LIM_Q01;454;8449,45;6402,55;0
2016-01-16;CLI0483;LIM_Q01;194;15518,12;9097,6;0
2016-01-17;CLI0091;DIS_S05;268;7477,25;3787,95;0
2016-01-17;CLI0411;DIS_S05;238;14588,25;8855,39;0
2016-01-17;CLI0008;DIS_S04;232;9966,12;5172,4;0
2016-01-18;CLI0032;LIM_Q01;108;5070,49;4673,34;1021348,63
2016-01-18;CLI0468;LIM_Q01;256;2444,71;1874,97;0
2016-01-19;CLI0414;HIG_Q03;460;2257,69;1239,11;0
2016-01-19;CLI0041;LIM_Q01;48;2135,28;1712,79;0
2016-01-19;CLI0095;HIG_Q03;407;5940,89;4740,31;0
2016-01-19;CLI0285;DIS_S05;357;8631,71;5079,99;0
2016-01-19;CLI0264;LIM_Q02;457;4002,35;2381,28;0
2016-01-19;CLI0438;LIM_Q02;20;10813,07;7168,58;0
2016-01-19;CLI0191;DIS_S05;408;13788,36;7682,3;0
2016-01-19;CLI0163;HIG_Q03;479;3207,75;1511,16;0
2016-01-19;CLI0349;DIS_S04;14;14611,28;7981,88;0
2016-01-19;CLI0269;LIM_Q02;282;11969,27;9314,77;0
2016-01-19;CLI0394;LIM_Q02;408;10724,37;6367,82;0
2016-01-19;CLI0320;LIM_Q01;54;6804,25;3425,86;0
2016-01-19;CLI0061;DIS_S04;439;8684,99;7685,87;0
2016-01-21;CLI0470;HIG_Q03;448;8971,1;5372,45;2578778,63
2016-01-21;CLI0149;HIG_Q03;51;10468,4;7344,8;0
2016-01-21;CLI0204;DIS_S05;212;11292,56;8015,21;0
2016-01-22;CLI0482;LIM_Q02;214;14885,05;8060,04;0
2016-01-22;CLI0194;HIG_Q03;159;5926,8;4014,15;0
2016-01-22;CLI0425;LIM_Q01;61;4739,45;3844,89;0
2016-01-22;CLI0178;HIG_Q03;14;3652,98;2199,92;0
2016-01-22;CLI0267;LIM_Q02;103;10607,01;5314,11;0
2016-01-22;CLI0002;LIM_Q01;495;3398,94;2132,25;0
2016-01-23;CLI0387;LIM_Q01;309;9547,93;5845,37;0
2016-01-23;CLI0336;DIS_S04;380;5118,03;2957,55;0
2016-01-23;CLI0435;LIM_Q02;478;2551,34;1280,42;0
2016-01-23;CLI0196;LIM_Q01;196;12640,17;5291,36;0
2016-01-24;CLI0343;HIG_Q03;494;10319,76;5055,96;0
2016-01-24;CLI0249;HIG_Q03;162;10294,15;8075,06;0
2016-01-25;CLI0466;DIS_S04;201;2251,13;1234,4;0
2016-01-25;CLI0158;LIM_Q01;229;11530,13;9020,46;0
2016-01-25;CLI0498;LIM_Q02;392;4787,8;3831,95;0
2016-01-25;CLI0212;LIM_Q02;125;8766,36;4555,61;0
2016-01-25;CLI0153;HIG_Q03;158;5143,02;4241,74;0
2016-01-26;CLI0362;DIS_S05;242;5432,75;2786,58;0
2016-01-26;CLI0139;LIM_Q02;333;9586,21;6914,29;0
2016-01-27;CLI0221;HIG_Q03;230;4336,34;2769,52;0
2016-01-28;CLI0273;LIM_Q01;56;10450,99;7458,5;0
2016-01-28;CLI0154;LIM_Q02;136;3272,92;2250,49;0
2016-01-29;CLI0304;HIG_Q03;125;4234,72;2647,84;0
2016-01-29;CLI0436;LIM_Q01;193;3607,73;2202,64;1152706,22
2016-01-29;CLI0440;HIG_Q03;16;6642,38;3403,44;0
2016-01-29;CLI0249;LIM_Q01;300;1863,17;860,84;0
2016-01-29;CLI0279;LIM_Q02;224;14075,05;9560,07;0
2016-01-30;CLI0276;LIM_Q01;61;15600,05;9886,13;0
2016-01-30;CLI0493;LIM_Q02;375;9706,05;6059,36;0
2016-01-31;CLI0411;DIS_S04;32;8402,79;6162,73;0
2016-01-31;CLI0002;DIS_S05;55;15551,51;7975;0
2016-01-31;CLI0088;DIS_S05;402;11600,28;9184,43;0
2016-01-31;CLI0287;DIS_S04;451;13318,7;9564,93;0
2016-02-02;CLI0078;LIM_Q01;136;6428,72;3760,38;0
2016-02-02;CLI0130;HIG_Q03;140;12086,6;7439,29;0
2016-02-04;CLI0260;DIS_S04;454;11939,33;10064,92;0
2016-02-04;CLI0241;LIM_Q02;274;11547,01;7358,57;0
2016-02-04;CLI0141;DIS_S05;318;11857,14;5656,24;0
2016-02-04;CLI0228;LIM_Q01;205;5774,35;3581,82;0
2016-02-05;CLI0163;DIS_S05;442;9563,34;5293,35;0
2016-02-05;CLI0236;LIM_Q01;482;9821,84;4978,37;0
2016-02-05;CLI0128;DIS_S04;463;7420,05;4685,28;2018894,46
2016-02-05;CLI0200;DIS_S04;57;13148,37;12714,29;0
2016-02-06;CLI0390;LIM_Q01;91;1789,47;1320,99;0
2016-02-06;CLI0450;HIG_Q03;388;7172,06;5807,08;0
2016-02-07;CLI0031;LIM_Q02;118;9954,45;6392,13;1721066,91
2016-02-07;CLI0138;DIS_S04;272;11358,99;7159,25;0
